GDPR – GAP ASSESSMENT CHECKLIST,,,,,,,,,,
?? GREEN rows = Gateway Questions (answer Yes/No).  If No ? mark all sub-controls in that block as N/A.  Yellow dropdown = Compliance Status.  N/A controls are excluded from the compliance score.,,,,,,,,,,
Control ID,GDPR Article,Area,Audit Question / Gateway Question,Evidence Required,Risk,Compliance Status,Evidence / Notes,Owner,Target Date,Remarks
  SECTION 1 – DISCOVER,,,,,,,,,,
  D.1: Search for and identify personal data,,,,,,,,,,
D1.0,Art. 15(3),Discover,Can the organization generally identify all locations where personal data is stored across the enterprise?,"Data map, Asset inventory, Cloud storage list",H,,,,,
D1.1,Art. 15(3),Discover,Does the organization have the ability to locate all instances of personal data pertaining to a given data subject?,"Search logs, Data discovery tool report",H,,,,,
D1.2,Art. 15(3),Discover,Does the organization have a formal process in place to search for personal data in a consistent and timely manner?,Standard Operating Procedure (SOP),M,,,,,
D1.3,Art. 15(3),Discover,Does the organization have technology for a single search to return all instances of personal data for a given subject?,"Tool documentation, UI screenshot",M,,,,,
  D.2: Facilitate data classification,,,,,,,,,,
D2.0,"Art. 30, 32",Discover,Can the organization categorize the types of personal data it uses?,"Data classification policy, Data schema",M,,,,,
D2.1,"Art. 30, 32",Discover,"Does the organization label data sensitivity (e.g., 'sensitive', 'confidential')?","Metadata tags, Classification labels",H,,,,,
D2.2,"Art. 30, 32",Discover,Does the organization label data with applicable geographic restrictions?,"Regional data tags, Data residency policy",M,,,,,
D2.3,"Art. 30, 32",Discover,Does the organization label the origin of data (subject vs. third-party)?,"Data lineage records, Source metadata",L,,,,,
D2.4,"Art. 30, 32",Discover,Are data classification activities performed in a consistent and timely manner?,Audit logs of classification runs,M,,,,,
D2.5,"Art. 30, 32",Discover,Does the organization automatically perform all classification activities?,"Automation scripts, AI/ML tool logs",L,,,,,
  D.3: Maintain an inventory of personal data holdings,,,,,,,,,,
D3.0,Art. 30,Discover,Does the organization have a tool to catalog how/where personal data is used?,"Inventory tool access, Data catalog",H,,,,,
D3.1,Art. 30,Discover,Does the organization have a complete inventory with all instances documented?,Master Data Inventory (RoPA),H,,,,,
D3.2,Art. 30,Discover,Is there technology in place to automate updates to the inventory?,"Integration logs, API documentation",M,,,,,
D3.3,Art. 30,Discover,Is there a process used regularly to keep the inventory up to date?,"Review schedule, Sign-off logs",M,,,,,
D3.4,Art. 30,Discover,Is there an inventory of all processing activities where data is being obtained?,Processing activity registry,H,,,,,
D3.5,Art. 30,Discover,"Are details of processing (scope, purpose, consent) documented for each activity?",RoPA detailed entries,H,,,,,
  SECTION 2 – MANAGE,,,,,,,,,,
  M.1: Enable data governance practices and processes,,,,,,,,,,
M1.0,"Art. 5, 24",Manage,Does the organization have a data governance program?,"Governance framework, Charter",H,,,,,
M1.1,"Art. 5, 24",Manage,Is there an organizational structure and formal charter for the program?,"Org chart, Signed Charter",M,,,,,
M1.2,"Art. 5, 24",Manage,Is data governance integrated across departments for consistency?,Cross-functional committee minutes,M,,,,,
M1.3,"Art. 5, 24",Manage,Are there data privacy and protection policies?,Published Privacy Policies,H,,,,,
M1.4,"Art. 5, 24",Manage,Is there technology to monitor and report policy violations?,"DLP logs, Monitoring alerts",M,,,,,
M1.5,"Art. 5, 24",Manage,Do policies enforce accountability within the organization?,"Performance reviews, Signed NDAs",M,,,,,
GW-CH,Art. 8,??  GATEWAY: Does the organization collect or process personal data of children?,,,H,,?  Answer YES or NO.  If NO ? mark all sub-controls below as N/A,,,
M1.6,"Art. 5, 24",Manage,Are there specific protections for children's personal data?,"Children's privacy policy, Age gates",H,,,,,
M1.7,Art. 8,Manage,Are requirements for children's data consent fulfilled?,Parental consent forms,H,,,,,
M1.8,Art. 8,Manage,Can the organization validate the age of a child and guardian identity?,ID verification logs,H,,,,,
GW-SC,Art. 9,"??  GATEWAY: Does the organization process special category personal data (health, biometric, religion, racial origin etc.)?",,,H,,?  Answer YES or NO.  If NO ? mark all sub-controls below as N/A,,,
